Y,customerid,prob
0,DTDV021001_0,0.12074096161193025
0,DTDV0301_0,0.047510993617311835
0,DTDV0309_0,0.05920325401273835
0,DTDV2110_0,0.08763830885747781
0,DTFC0008FDFGS_0,0.021635662447986172
0,IMMIMD00401_0,0.31988122563434607
0,IMMIMD01401WHFGS_0,0.14089127340814248
0,IMMIMD015_0,0.14807463798048276
0,IMMIMD027_0,0.48365921346748764
0,IMMIMD030_0,0.18216187974909337
0,IMMIMD818_0,0.03549364369909468
0,IMMIMD906_0,0.3893558779231253
0,IMMIMD928_0,0.9759962342056756
0,IMMIMD939_0,0.20630812834716772
0,IMMIMD953_0,0.4583001704208872
0,IMMIMM058_0,0.8471039505122709
0,IMMIMM074_0,0.8844946854950771
0,SMCFFSR2032_0,0.9738336977683972
0,SMCFFSR2522_0,0.09660761778107974
0,SMCFFSR5311_0,0.03420874153205244
0,SMCFFSR5716_0,0.9708439264187335
0,SMCFFSR5718_0,0.06990995808857683
0,SMCFFSR5903_0,0.08671046682406588
0,SMCFFSR7901_0,0.1441205427345251
0,SMCFFSR8901_0,0.5120746235180493
0,SMCRWMQ2009_0,0.12708115994828897
0,SMCRWMQ200J_0,0.29207877962901097
0,SMCRWMQ200R_0,0.2803391247806255
0,SMCRWMQ2030_0,0.41454289433834085
0,SMCRWMQ2041_0,0.13608325501415727
0,SMCRWMQ2083_0,0.10029691003461481
0,SMCRWMQ2084_0,0.061527724299271475
0,SMCRWMQ2135_0,0.11724025908466039
0,SMCRWMQ2149_0,0.03962747215269509
0,SMCRWMQ2150_0,0.1170128988990918
0,SMCRWMQ2156_0,0.08391503315981953
0,SMCRWMQ2322_0,0.30481602392939117
0,SMCRWMQ250N_0,0.6350674341627759
0,SMCRWMQ251J_0,0.05427196313577861
0,SMCRWMQ251K_0,0.1195284916692752
0,SMCRWMQ251M_0,0.07487674228693822
0,SMCRWMQ2572_0,0.03576474694718618
0,SMCRWMQ2743_0,0.15369131348492934
0,SMCRWMQ2747_0,0.16955807388446043
0,SMCRWMQ2749_0,0.06819419788082463
0,SMCRWMQ2829_0,0.05707190136630467
0,SMCRWMQ2833_0,0.3110644368285498
